# Time Series: 1 Hz sine wave 
 # Time (s),Acceleration (g)
1.691755151747238450e+00,-9.337795233706590592e-01
1.701765537260535810e+00,-9.544259151731122603e-01
1.711775922773833170e+00,-9.712977986547954856e-01
1.721786308287130307e+00,-9.843284498682802752e-01
1.731796693800427667e+00,-9.934663359489952494e-01
1.741807079313724804e+00,-9.986753189144131904e-01
1.751817464827022164e+00,-9.999347985804515337e-01
1.761827850340319301e+00,-9.972397940298869390e-01
1.771838235853616661e+00,-9.906009633105981038e-01
1.781848621366914021e+00,-9.800445612857356936e-01
1.791859006880211158e+00,-9.656123358025098247e-01
1.801869392393508518e+00,-9.473613625902230773e-01
1.811879777906805655e+00,-9.253638195404819689e-01
1.821890163420103015e+00,-8.997067012622528281e-01
1.831900548933400374e+00,-8.704914750406205215e-01
1.841910934446697512e+00,-8.378336795598518849e-01
1.851921319959994872e+00,-8.018624679776901187e-01
1.861931705473292009e+00,-7.627200971579425337e-01
1.871942090986589369e+00,-7.205613650812598969e-01
1.881952476499886728e+00,-6.755529986590662617e-01
1.891962862013183866e+00,-6.278729943716152562e-01
1.901973247526481225e+00,-5.777099143378269241e-01
1.911983633039778363e+00,-5.252621406007419447e-01
1.921994018553075723e+00,-4.707370905777095715e-01
1.932004404066373082e+00,-4.143503967780012287e-01
1.942014789579670220e+00,-3.563250540318536053e-01
1.952025175092967579e+00,-2.968905376034324251e-01
1.962035560606264717e+00,-2.362818956753503785e-01
1.972045946119562077e+00,-1.747388197937309040e-01
1.982056331632859436e+00,-1.125046969499646221e-01
1.992066717146156574e+00,-4.982564704794373994e-02
2.002077102659453711e+00,1.305045043669413041e-02
2.012087488172751293e+00,7.587493675594106368e-02
2.022097873686048430e+00,1.383993572706326836e-01
2.032108259199345568e+00,2.003764440244696909e-01
2.042118644712643150e+00,2.615610936250107876e-01
2.052129030225940287e+00,3.217113365643465284e-01
2.062139415739237425e+00,3.805892941461266887e-01
2.072149801252534562e+00,4.379621192344211322e-01
2.082160186765832144e+00,4.936029171041044772e-01
2.092170572279129281e+00,5.472916427509457726e-01
2.102180957792426419e+00,5.988159711128759888e-01
2.112191343305724001e+00,6.479721367608212157e-01
2.122201728819021138e+00,6.945657397384220610e-01
2.132212114332318276e+00,7.384125143637251254e-01
2.142222499845615857e+00,7.793390579524283046e-01
2.152232885358912995e+00,8.171835165807604939e-01
2.162243270872210132e+00,8.517962251760162751e-01
2.172253656385507270e+00,8.830402994033080821e-01
2.182264041898804852e+00,9.107921770078095669e-01
2.192274427412101989e+00,9.349421064715955909e-01
2.202284812925399127e+00,9.553945810525951154e-01
2.212295198438696708e+00,9.720687164891188559e-01
2.222305583951993846e+00,9.848985708762504343e-01
2.232315969465290983e+00,9.938334054490766123e-01
2.242326354978588121e+00,9.988378852414104836e-01
2.252336740491885703e+00,9.998922188264722788e-01
2.262347126005182840e+00,9.969922365868755243e-01
2.272357511518479978e+00,9.901494072043894867e-01
2.282367897031777559e+00,9.793907923042601826e-01
2.292378282545074697e+00,9.647589394334638024e-01
2.302388668058371834e+00,9.463117137961313263e-01
2.312399053571669416e+00,9.241220694115895862e-01
2.322409439084966554e+00,8.982777606000372783e-01
2.332419824598263691e+00,8.688809949368370145e-01
2.342430210111560829e+00,8.360480290479213039e-01
2.352440595624858410e+00,7.999087088448167959e-01
2.362450981138155548e+00,7.606059560175654211e-01
2.372461366651452686e+00,7.182952028162941094e-01
2.382471752164750267e+00,6.731437773567591210e-01
2.392482137678047405e+00,6.253302418808128760e-01
2.402492523191344542e+00,5.750436865887805782e-01
2.412502908704642124e+00,5.224829818365013256e-01
2.422513294217939261e+00,4.678559916543640895e-01
2.432523679731236399e+00,4.113787516986764925e-01
2.442534065244533537e+00,3.532746148863646352e-01
2.452544450757831118e+00,2.937733680918022672e-01
2.462554836271128256e+00,2.331103233989921253e-01
2.472565221784425393e+00,1.715253875029600916e-01
2.482575607297722975e+00,1.092621129406516622e-01
2.492585992811020112e+00,4.656673490349205746e-02
2.502596378324317250e+00,-1.631280255931987638e-02
2.512606763837614832e+00,-7.912782709554980198e-02
2.522617149350911969e+00,-1.416299214849429666e-01
2.532627534864209107e+00,-2.035719060652723122e-01
2.542637920377506244e+00,-2.647088162641302866e-01
2.552648305890803826e+00,-3.247988713706380093e-01
2.562658691404100963e+00,-3.836044307157946975e-01
2.572669076917398101e+00,-4.408929334800209543e-01
2.582679462430695683e+00,-4.964378184112340220e-01
2.592689847943992820e+00,-5.500194198161391101e-01
2.602700233457289958e+00,-6.014258362814133285e-01
2.612710618970587095e+00,-6.504537686891156412e-01
2.622721004483884677e+00,-6.969093242122852416e-01
2.632731389997181815e+00,-7.406087831110391706e-01
2.642741775510478952e+00,-7.813793252967777825e-01
2.652752161023776534e+00,-8.190597137910430314e-01
2.662762546537073671e+00,-8.535009323761880706e-01
2.672772932050370809e+00,-8.845667749160861515e-01
2.682783317563668390e+00,-9.121343840162626782e-01
2.692793703076965528e+00,-9.360947368931993307e-01
2.702804088590262666e+00,-9.563530765313272841e-01
2.712814474103559803e+00,-9.728292864225842607e-01
2.722824859616857385e+00,-9.854582074065366681e-01
2.732835245130154522e+00,-9.941898953580519116e-01
2.742845630643451660e+00,-9.989898187034335075e-01
2.752856016156749241e+00,-9.998389949838887292e-01
2.762866401670046379e+00,-9.967340659262549085e-01
2.772876787183343517e+00,-9.896873107241048739e-01
2.782887172696641098e+00,-9.787265974767032084e-01
2.792897558209938236e+00,-9.638952729778631490e-01
2.802907943723235373e+00,-9.452519912905542609e-01
2.812918329236532511e+00,-9.228704817852128039e-01
2.822928714749830093e+00,-8.968392575591020988e-01
2.832939100263127230e+00,-8.672612653898409407e-01
2.842949485776424368e+00,-8.342534786074472519e-01
2.852959871289721949e+00,-7.979464344949888099e-01
2.862970256803019087e+00,-7.584837180473136264e-01
2.872980642316316224e+00,-7.160213941294050199e-01
2.882991027829613806e+00,-6.707273902801079712e-01
2.893001413342910944e+00,-6.227808326020297658e-01
2.903011798856208081e+00,-5.723713373640016977e-01
2.913022184369505219e+00,-5.196982611176367284e-01
2.923032569882802800e+00,-4.649699122935935791e-01
2.933042955396099938e+00,-4.084027273954676795e-01
2.943053340909397075e+00,-3.502204150492396750e-01
2.953063726422694657e+00,-2.906530712933499405e-01
2.963074111935991795e+00,-2.299362696082382362e-01
2.973084497449288932e+00,-1.683101292839661312e-01
2.983094882962586070e+00,-1.060183658103684562e-01
2.993105268475883651e+00,-4.330732704515942444e-02
3.003115653989180789e+00,1.957498102831142783e-02
3.013126039502477926e+00,8.237987510076276443e-02
3.023136425015775508e+00,1.448589780153234918e-01
3.033146810529072646e+00,2.067652010350999880e-01
3.043157196042369783e+00,2.678537210154415260e-01
3.053167581555667365e+00,3.278829486163057361e-01
3.063177967068964502e+00,3.866154837257823051e-01
3.073188352582261640e+00,4.438190543163106350e-01
3.083198738095558777e+00,4.992674350206453560e-01
3.093209123608856359e+00,5.527413417948271457e-01
3.103219509122153497e+00,6.040292991300106884e-01
3.113229894635450634e+00,6.529284763835638827e-01
3.123240280148748216e+00,6.992454899219505693e-01
3.133250665662045353e+00,7.427971679031036834e-01
3.143261051175342491e+00,7.834112746738360888e-01
3.153271436688640073e+00,8.209271919174067067e-01
3.163281822201937210e+00,8.551965538575432291e-01
3.173292207715234348e+00,8.860838340068233343e-01
3.183302593228531485e+00,9.134668811389710097e-01
3.193312978741829067e+00,9.372374023654477249e-01
3.203323364255126204e+00,9.573013914058988716e-01
3.213333749768423342e+00,9.735795003587477403e-01
3.223344135281720924e+00,9.860073535016761204e-01
3.233354520795018061e+00,9.945358018810015466e-01
3.243364906308315199e+00,9.991311176831143559e-01
3.253375291821612336e+00,9.997751276192812231e-01
3.263385677334909918e+00,9.964652847963126892e-01
3.273396062848207055e+00,9.892146787888704829e-01
3.283406448361504193e+00,9.780519838735761695e-01
3.293416833874801775e+00,9.630213456296400354e-01
3.303427219388098912e+00,9.441822063544872412e-01
3.313437604901396050e+00,9.216090699847958589e-01
3.323447990414693631e+00,8.953912074526517717e-01
3.333458375927990769e+00,8.656323036420346950e-01
3.343468761441287906e+00,8.324500473418416924e-01
3.353479146954585044e+00,7.959756658170852317e-01
3.363489532467882626e+00,7.563534058389111969e-01
3.373499917981179763e+00,7.137399632258215609e-01
3.383510303494476901e+00,6.683038631521236450e-01
3.393520689007774482e+00,6.202247936743362500e-01
3.403531074521071620e+00,5.696928951112795181e-01
3.413541460034368757e+00,5.169080080881514050e-01
3.423551845547666339e+00,4.620788832183906347e-01
3.433562231060963477e+00,4.054223555488636888e-01
3.443572616574260614e+00,3.471624870331583845e-01
3.453583002087557752e+00,2.875296804243744897e-01
3.463593387600855333e+00,2.267597680916368097e-01
3.473603773114152471e+00,1.650930793639296679e-01
3.483614158627449608e+00,1.027734900895615339e-01
3.493624544140747190e+00,4.004745817011157866e-02
3.503634929654044328e+00,-2.283695111701278951e-02
3.513645315167341465e+00,-8.563104615277221388e-02
3.523655700680638603e+00,-1.480864924876968136e-01
3.533666086193936184e+00,-2.099562949405742451e-01
3.543676471707233322e+00,-2.709957744006914471e-01
3.553686857220530460e+00,-3.309635354706147448e-01
3.563697242733828041e+00,-3.896224211227164447e-01
3.573707628247125179e+00,-4.467404505940433257e-01
3.583718013760422316e+00,-5.020917368104066414e-01
3.593728399273719898e+00,-5.554573797115066602e-01
3.603738784787017035e+00,-6.066263319441891344e-01
3.613749170300314173e+00,-6.553962335003156170e-01
3.623759555813611311e+00,-7.015742119983787717e-01
3.633769941326908892e+00,-7.449776454440452111e-01
3.643780326840206030e+00,-7.854348844530192331e-01
3.653790712353503167e+00,-8.227859310801038939e-01
3.663801097866800749e+00,-8.568830715697900446e-01
3.673811483380097886e+00,-8.875914605260668555e-01
3.683821868893395024e+00,-9.147896541911861856e-01
3.693832254406692606e+00,-9.383700907243957001e-01
3.703842639919989743e+00,-9.582395155812738485e-01
3.713853025433286881e+00,-9.743193503114038201e-01
3.723863410946584018e+00,-9.865460033158783837e-01
3.733873796459881600e+00,-9.948711213356689065e-01
3.743884181973178737e+00,-9.992617806762921218e-01
3.753894567486475875e+00,-9.997006174125327993e-01
3.763904952999773457e+00,-9.961858960582874456e-01
3.773915338513070594e+00,-9.887315164299655956e-01
3.783925724026367732e+00,-9.773669586762985251e-01
3.793936109539665313e+00,-9.621371666919578125e-01
3.803946495052962451e+00,-9.431023703760439414e-01
3.813956880566259589e+00,-9.203378474383671071e-01
3.823967266079556726e+00,-8.939336256955228155e-01
3.833977651592854308e+00,-8.639941270341011670e-01
3.843988037106151445e+00,-8.306377544490569642e-01
3.853998422619448583e+00,-7.939964237904002520e-01
3.864008808132746164e+00,-7.542150420700363123e-01
3.874019193646043302e+00,-7.114509343919152018e-01
3.884029579159340440e+00,-6.658732217718201785e-01
3.894039964672637577e+00,-6.176621523073655418e-01
3.904050350185935159e+00,-5.670083883432668337e-01
3.914060735699232296e+00,-5.141122524509501579e-01
3.924071121212529434e+00,-4.591829352044466406e-01
3.934081506725827015e+00,-4.024376678856180223e-01
3.944091892239124153e+00,-3.441008633904893421e-01
3.954102277752421291e+00,-2.844032287341018983e-01
3.964112663265718872e+00,-2.235808526637976801e-01
3.974123048779016010e+00,-1.618742719891079485e-01
3.984133434292313147e+00,-9.952752032070566468e-02
3.994143819805610285e+00,-3.678716298042545435e-02
4.004154205318907422e+00,2.609867810097734470e-02
4.014164590832205448e+00,8.888130564209337225e-02
4.024174976345502586e+00,1.513124305444185635e-01
4.034185361858799723e+00,2.131451538117474787e-01
4.044195747372096861e+00,2.741349429719786013e-01
4.054206132885393998e+00,3.340405991399976737e-01
4.064216518398691136e+00,3.926252108970422761e-01
4.074226903911988273e+00,4.496570912142632825e-01
4.084237289425286299e+00,5.049106937151589536e-01
4.094247674938583437e+00,5.581675046533133289e-01
4.104258060451880574e+00,6.092169070779269724e-01
4.114268445965177712e+00,6.578570137695143316e-01
4.124278831478474849e+00,7.038954656517791841e-01
4.134289216991771987e+00,7.471501925221634144e-01
4.144299602505069124e+00,7.874501330925258724e-01
4.154309988018367150e+00,8.246359114924219913e-01
4.164320373531664288e+00,8.585604675595495117e-01
4.174330759044961425e+00,8.890896384247767292e-01
4.184341144558258563e+00,9.161026890916799115e-01
4.194351530071555700e+00,9.394927899123097781e-01
4.204361915584852838e+00,9.591674390708977427e-01
4.214372301098149975e+00,9.750488284046741061e-01
4.224382686611448001e+00,9.870741511150907810e-01
4.234393072124745139e+00,9.951958501524997835e-01
4.244403457638042276e+00,9.993818062920284406e-01
4.254413843151339414e+00,9.996154651568223137e-01
4.264424228664636551e+00,9.958959026863386521e-01
4.274434614177933689e+00,9.882378287907667147e-01
4.284444999691231715e+00,9.766715291771258523e-01
4.294455385204528852e+00,9.612427455771098694e-01
4.304465770717825990e+00,9.420124948503332263e-01
4.314476156231123127e+00,9.190568276783877000e-01
4.324486541744420265e+00,8.924665278040138094e-01
4.334496927257717402e+00,8.623467530048186669e-01
4.344507312771014540e+00,8.288166192213806127e-01
4.354517698284312566e+00,7.920087294844280201e-01
4.364528083797609703e+00,7.520686495040715958e-01
4.374538469310906841e+00,7.091543319949380475e-01
4.384548854824203978e+00,6.634354920139511336e-01
4.394559240337501116e+00,6.150929357810369646e-01
4.404569625850798253e+00,5.643178456371658047e-01
4.414580011364095391e+00,5.113110239675145996e-01
4.424590396877393417e+00,4.562820990798021614e-01
4.434600782390690554e+00,3.994486961784384227e-01
4.444611167903987692e+00,3.410355767129320537e-01
4.454621553417284829e+00,2.812737495043515779e-01
4.464631938930581967e+00,2.203995571650292085e-01
4.474642324443879104e+00,1.586537414244684752e-01
4.484652709957176242e+00,9.628049105791143536e-02
4.494663095470474268e+00,3.352647618270553770e-02
4.504673480983771405e+00,-2.936012725836236251e-02
4.514683866497068543e+00,-9.213061896893641467e-02
4.524694252010365680e+00,-1.545367578446099344e-01
4.534704637523662818e+00,-2.163317437024611101e-01
4.544715023036959956e+00,-2.772711933121094208e-01
4.554725408550257981e+00,-3.371141068683858322e-01
4.564735794063555119e+00,-3.956238210833606384e-01
4.574746179576852256e+00,-4.525689451286492027e-01
4.584756565090149394e+00,-5.077242757264315287e-01
4.594766950603446531e+00,-5.608716877703244785e-01
4.604777336116743669e+00,-6.118009969539351944e-01
4.614787721630040807e+00,-6.603107909955705512e-01
4.624798107143338832e+00,-7.062092261718562192e-01
4.634808492656635970e+00,-7.493147860101890823e-01
4.644818878169933107e+00,-7.894569991395630204e-01
4.654829263683230245e+00,-8.264771134608789316e-01
4.664839649196527382e+00,-8.602287239705438404e-01
4.674850034709824520e+00,-8.905783517544939576e-01
4.684860420223121658e+00,-9.174059718628827520e-01
4.694870805736419683e+00,-9.406054879777945299e-01
4.704881191249716821e+00,-9.600851519968083281e-01
4.714891576763013958e+00,-9.757679268730948818e-01
4.724901962276311096e+00,-9.875917912770528773e-01
4.734912347789608233e+00,-9.955099848746786773e-01
4.744922733302905371e+00,-9.994911932526221454e-01
4.754933118816203397e+00,-9.995196717586155577e-01
4.764943504329500534e+00,-9.955953077675130380e-01
4.774953889842797672e+00,-9.877336211266943833e-01
4.784964275356094809e+00,-9.759657027790700212e-01
4.794974660869391947e+00,-9.603380918064211569e-01
4.804985046382689085e+00,-9.409125913793383589e-01
4.814995431895986222e+00,-9.177660243416181363e-01
4.825005817409284248e+00,-8.909899293957296296e-01
4.835016202922581385e+00,-8.606901990908690792e-01
4.845026588435878523e+00,-8.269866610452206723e-01
4.855036973949175660e+00,-7.900126040586520348e-01
4.865047359462472798e+00,-7.499142509898766296e-01
4.875057744975769936e+00,-7.068501804827669321e-01
4.885068130489067073e+00,-6.609906998287279345e-01
4.895078516002365099e+00,-6.125171714452666283e-01
4.905088901515662236e+00,-5.616212956344414087e-01
4.915099287028959374e+00,-5.085043524575765250e-01
4.925109672542256511e+00,-4.533764057245547319e-01
4.935120058055553649e+00,-3.964554722456371527e-01
4.945130443568850787e+00,-3.379666596311930449e-01
4.955140829082147924e+00,-2.781412760491716596e-01
4.965151214595445950e+00,-2.172159154609622222e-01
4.975161600108743087e+00,-1.554315219533085601e-01
4.985171985622040225e+00,-9.303243686656444134e-02
4.995182371135337362e+00,-3.026543248773928829e-02
5.005192756648634500e+00,3.262126387025778701e-02
5.015203142161931638e+00,9.537895154360136185e-02
5.025213527675229663e+00,1.577594400645564998e-01
5.035223913188526801e+00,2.195160306907207870e-01
5.045234298701823938e+00,2.804044920349658132e-01
5.055244684215121076e+00,3.401840259375540354e-01
5.065255069728418214e+00,3.986182197607455180e-01
5.075265455241715351e+00,4.554759813398226997e-01
5.085275840755012489e+00,5.105324528929862105e-01
5.095286226268310514e+00,5.635699002758817189e-01
5.105296611781607652e+00,6.143785740639727821e-01
5.115306997294904789e+00,6.627575390574520497e-01
5.125317382808201927e+00,7.085154689280832585e-01
5.135327768321499065e+00,7.514714028655019584e-01
5.145338153834796202e+00,7.914554612305595427e-01
5.155348539348093340e+00,8.283095173854491122e-01
5.165358924861391365e+00,8.618878230437932997e-01
5.175369310374688503e+00,8.920575846675188325e-01
5.185379695887985640e+00,9.186994886310452246e-01
5.195390081401282778e+00,9.417081730759118141e-01
5.205400466914579916e+00,9.609926445897337688e-01
5.215410852427877053e+00,9.764766380616890507e-01
5.225421237941174191e+00,9.880989182913644253e-01
5.235431623454472216e+00,9.958135221581679852e-01
5.245442008967769354e+00,9.995899403936234773e-01
5.255452394481066491e+00,9.994132382376558210e-01
5.265462779994363629e+00,9.952841145017162772e-01
5.275473165507660767e+00,9.872188988051602276e-01
5.285483551020957904e+00,9.752494869958181489e-01
5.295493936534255930e+00,9.594232150101422718e-01
5.305504322047553067e+00,9.398026716717878815e-01
5.315514707560850205e+00,9.164654511689616090e-01
5.325525093074147343e+00,8.895038461894102522e-01
5.335535478587444480e+00,8.590244829266614479e-01
5.345545864100741618e+00,8.251478994009238122e-01
5.355556249614038755e+00,7.880080687622942337e-01
5.365566635127336781e+00,7.477518694615276074e-01
5.375577020640633918e+00,7.045385043836334127e-01
5.385587406153931056e+00,6.585388712415319867e-01
5.395597791667228194e+00,6.099348867196848767e-01
5.405608177180525331e+00,5.589187670405074693e-01
5.415618562693822469e+00,5.056922677988198167e-01
5.425628948207119606e+00,4.504658860704927603e-01
5.435639333720417632e+00,3.934580279507794986e-01
5.445649719233714769e+00,3.348941448146122157e-01
5.455660104747011907e+00,2.750058417144745082e-01
5.465670490260309045e+00,2.140299614422277452e-01
5.475680875773606182e+00,1.522076478769322783e-01
5.485691261286903320e+00,8.978339232298210293e-02
5.495701646800200457e+00,2.700406661009921092e-02
5.505712032313498483e+00,-3.588205322110553375e-02
5.515722417826795620e+00,-9.862626878682854981e-02
5.525732803340092758e+00,-1.609804428980280699e-01
5.535743188853389896e+00,-2.226979808790331972e-01
5.545753574366687033e+00,-2.835348057858401716e-01
5.555763959879984171e+00,-3.432503236674929181e-01
5.565774345393282196e+00,-4.016083750531294072e-01
5.575784730906579334e+00,-4.583781689017100147e-01
5.585795116419876472e+00,-5.133351953211174878e-01
5.595805501933173609e+00,-5.662621134468646122e-01
5.605815887446470747e+00,-6.169496109691177121e-01
5.615826272959767884e+00,-6.651972319089431984e-01
5.625836658473065022e+00,-7.108141693699594477e-01
5.635847043986363047e+00,-7.536200201304210644e-01
5.645857429499660185e+00,-7.934454980914233957e-01
5.655867815012957323e+00,-8.301331037597565743e-01
5.665878200526254460e+00,-8.635377471177934083e-01
5.675888586039551598e+00,-8.935273214170613709e-01
5.685898971552848735e+00,-9.199832256263730246e-01
